,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Senior Healthcare Analyst – Data Engineer,£26K - £31K (Glassdoor est.),"About The Health Economics Unit (HEU)
The HEU has been created to deliver impactful insights that power the future development of health and care delivery. Our experts support health system and industry leaders to make the best possible decisions and design the highest quality, most efficient and innovative services to improve the health of communities across the country.

The HEU is a specialist team hosted by the NHS Midlands and Lancashire Commissioning Support Unit (MLCSU), one of five CSUs across the UK responsible for providing a range of services and support to clients including clinical commissioning groups (CCGs), hospital trusts, local authorities, integrated care systems (ICSs) and other public bodies.
The role
Reporting to the Head of Data and Analytics you will form part of an expert team who can:
Design, build and maintain an Extract, Transform, Load (ETL) system that can ingest data from a wide variety of healthcare data sources to facilitate working across several datasets
Build and maintain data pipelines used to process data for machine learning/population health analytics
Document all processes and implementations to allow for auditing and posterity
Diagnose data quality issues across numerous large and complex healthcare data sources
The postholder will:
Use their experience in database design to efficiently host information from multiple sources and query databases
Have experience in developing an ETL system from scratch, developing data pipelines
Have good knowledge of Python (desirable)
Have 2-3 years’ experience of programming in Python and SQL
Have an understanding of health data, the NHS or the wider determinants of health (desirable)
Be able to write well designed, testable, efficient code (python, SQL) which follows good coding standards
The successful applicant will be joining an experienced business intelligence (BI) and data science team. Any knowledge of, or desire to learn, BI tools such as Tableau or machine learning is a plus.
About you
You must be kind. The HEU creates fantastic, useful insights by working in collaboration and partnership, internally and externally, and we need people that will thrive in this environment. We want you to be proud of your work, to want to publish it, to want to present it to clients and at key conferences. We want someone that gets excited by problem solving. We are looking for someone that is passionate and knows that analytics inform decisions that will fundamentally transform how healthcare is delivered, improving the lives of our population.
Agile working and flexibility
As an organisation, we have radically adopted the principles of agile working in order to support the flexibility and work/life balance of our people, focusing on what you do rather than where you do it. Whilst the team and individuals working with you may be based all over the UK, whereyouare based and work from is not an issue for us. Although we plan to have a London office, how you engage with the space will be explored further with you and our team in the future.
Notes and review
This is not an exhaustive list of duties and responsibilities, and the postholder may be required to undertake other duties which fall within the grade of the job, in discussion with their manager. This job description will be reviewed regularly in the light of changing service requirements and any such changes will be discussed with the postholder.

This job description is intended as an outline indicator of general areas of activity and will be amended in light of the changing needs of the organisation. It will be reviewed in conjunction with the postholder on an annual basis.

The post holder will be an employee of the NHS Midlands and Lancashire Commissioning Support Unit (CSU) and as such will be required to uphold and abide by all CSU policies on, for example: information governance, data protection and confidentiality; equality and diversity; safeguarding children and adults; and health and safety (this is not an exhaustive list).",4.0,"NHS Midlands and Lancashire Commissioning Support Unit
4.0","London, England",1001 to 5000 Employees,-1,Company - Public,-1,-1,Less than $1 million (USD)
1,Data Analyst; SSRS,£20K - £33K (Glassdoor est.),"Data Analyst required by a national automotive company from their offices near Westminster. This is to cover sickness and will be initially for a period of 8 weeks with the possibility of an extension. As the Data Analyst, you will be supporting the day to day delivery of database services for internal requests.
Daily responsibilities:
Building & fixing reports and explaining details to their members
Pricing data requests via customer enquiries and producing reports as a result
Setting up new users to the system and managing password resets if required.
Ensuring reports are delivered on time on a weekly and monthly basis.
Co-ordinating webinar training for members.


Key Skills
Personable and able to communicate effectively to customers via telephone.
MS SQL
SSRS Report Builder experience
Cognos and/or Business Objects experience
Salesforce experience
Excellent Excel skills
Excellent attention to detail
General relational database knowledge
MS Access – advanced knowledge
General MS packages: Excel, Word etc.
Reckon you can save the day? Apply asap.
Job Information
JOB REFERENCE: JO0000011795_1583258422
SALARY:
SALARY FROM: £48000
SALARY TO: £60000
JOB LOCATIONS: England, London
JOB TYPES: Contract
JOB SKILLS: SSRS, Business Objects, Cognos, Salesforce, Microsoft",4.8,"Langley James IT Recruitment
4.8","London, England",1 to 50 Employees,1999,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
2,Senior Data Analyst - Product,£39K - £55K (Glassdoor est.),"We are notonthehighstreet.

We’re home to 5,000 phenomenal small creative businesses that we are proud to call our Partners. But, now more than ever, this community needs our support. So we’re doing all we can to shine a light on these dynamic entrepreneurs, waving the flag for small businesses and generally championing their socks off.

On top of our brilliant Partners, products and customers (not to mention our incredible team who have been busy beavering away from home since March), the last 12 months has seen great progress with our tech platform and customer experience. We are now looking to build on this momentum to drive our business to the next level. And that’s where you come in.

What we need

As our Senior Data Analyst, reporting into the Product Analytics Manager, you and your team of analysts will collaborate with our product managers and UX designers to learn how our digital products can better meet the needs of our customers.

Some of the things you’ll be doing...
As an expert with our web data, you will ensure the product teams have the visibility into day-to-day performance that they need as well as proactively identifying opportunities to increase revenue through product optimisations
Prioritising which customer needs we focus on should be a data driven process. To support this, you’ll analyse customer behaviour on our app and digital platforms for the purpose of generating insights and testable hypotheses
To ensure the features we’re building are fit for purpose, we take a rigorous approach to evaluating performance. By analysing and interpreting the results of testing and optimisation experiments in a statistically and scientifically sound manner you’ll aid in this process
The product analytics team has several streams of work, and we need to ensure that new work is identified early and managed efficiently. You’ll collaborate with product, UX and the rest of the data team to identify, design, and iteratively improve workflows and processes
Experience and skills you’ll need...
A bachelor’s degree or higher with a significant quantitative component (e.g. mathematics, computer science, physics, economics)
Several years of experience working as an analyst using business intelligence tools including SQL (Redshift, Snowflake, or similar), Tableau (or similar), and Google Analytics (or similar)
Significant experience with A/B testing tools (e.g. Optimizely, SiteSpect, VWO)
Significant experience defining and delivering insights and analysis for digital products
Experience running, and iterating on, operational processes with the aim of improving productivity
Clear and succinct presentation skills
…and some other skills & experience that would be a bonus
Experience coaching more junior analysts
Experience working in an ecommerce marketplace business
Statistical/probabilistic knowledge of hypothesis (A/B) testing
Experience with the typical Python machine learning stack (numpy, SciPy, pandas, scikit-learn etc.)
Our perks

It’s important to us that our people are well looked after, which is why we offer everyone BUPA healthcare, life insurance and a pension plan. Because having a break is important for your physical and mental wellbeing, our holiday allowance is 25 days (plus bank holidays) AND your entitlement increases an extra day for every 2 years you spend with us.

The team spirit at NOTHS House is legendary, and while we all miss the in-office massages, hair cuts and the abundance of free fruit, we’ve taken to our virtual world with gusto and bring the team together regularly for socials and of course the odd Zoom quiz!

We endeavour to support our people to make sure work….well, works for them. And the pretty big issue of the recent global pandemic has propelled us into working more flexibly than ever before. With the office closed until further notice (at least until government social distancing advice has changed), we’re using the lessons learnt over this period to evolve our approach to flexible working whilst ensuring we all still get together as one #teamnoths

Diversity and Inclusion

Everyone’s welcome at notonthehighstreet – whoever they are, wherever their background.

As part of your application you’ll be asked to complete a demographic survey to help us learn more about who wants to work with us. It’s completely optional (but really appreciated) and it’s 100% anonymous. We’ll only use the information to help us figure out how to make our team even more inclusive and attract more brilliant people to join us, with the help of our cross-team Diversity Champions to drive progress.

Apply to join #teamnoths

We’d love to hear more about you, your experience and why you’d like to join our team.

For now, our recruitment and induction processes are fully remote, taking advantage of the wonders of modern-day technology. If you are successful in your initial application we’ll explain more about next steps, as this can vary slightly from role to role. Good luck!",4.1,"Notonthehighstreet
4.1","Richmond, London, England",51 to 200 Employees,2006,Company - Private,Other Retail Stores,Retail,Unknown / Non-Applicable
3,Advanced Data Insights Analyst II (Business Analytics),£30K - £34K (Glassdoor est.),"Expedia

The Travel Partner Group Analytics and Data Science team is passionate about influencing, recommending, and supporting Expedia Group’s supply executive leadership teams in global and regional pivotal initiatives. Your passion for up-leveling data and insights is defined as a critical strategy for the team!

At Expedia Group, we are passionate about using Data and Analytics to build an outstanding travel experience and bring the world within reach. We are looking for an outstanding individual to join the Lodging and Activities team and generate powerful insights that will shape business growth. This is an opportunity to be a part of a fun and data-led company and partner with global strategy and marketing teams to design inspiring and impactful business plans, powered by quantitative insight.

We have a strong team of analysts and data scientists, our work is highly sought-after, and our impact on the business is tremendous. If you are are excited to use data to tell compelling stories to our leaders, we want to hear from you!

What you’ll do:

In this role you will:
Frame business challenges as an analytics problem and concrete set of analytical tasks.
Assess and evaluate the use of various methods when trying to tackle a problem considering the underlying assumptions.
Connect with and influence partners and leadership teams.
Manage partners with frequent communication, expectation management, meeting deadlines and the backlog.
Extract data from multiple data sources and combine them into the required datasets for model building or analytics.
Demonstrate understanding of business domain and can recommend model changes, constantly evolving information and requirements.
Apply common statistical methods such as linear and non-linear regression, multivariate analysis to interpret results.
Become knowledgeable in EG visualization tools, crafting sophisticated calculations using advanced features.
Anticipate and assist team members in the creation of routine technical communication materials (e.g. policies & procedures, guidelines, presentations, messages).
Who you are:
Have Bachelors/Master’s degree in Engineering/Mathematics/Hotel Management/Business (or any other technical field), as well as some work or academic experience working with large datasets: querying SQL databases, using Tableau, Excel, R, Python or equivalents. Background in Data Science is a strong plus
Familiar with statistical analysis, business intelligence concepts, E2E process of analysing data and building models: data cleaning, mining exploration, visualization, scenario modelling. Practical knowledge of advanced analytics methods (regression, clustering, causal impact, time series) is preferred
Keen problem-solver exhibiting intellectual curiosity, attention to detail, and focus on generating impactful business insights. Interest in building business knowledge in hospitality industry
Have knowledge with Python, Scala or R, or other major ML programming language
Can-do attitude and self-motivation. Passionate about the outcome, can work independently and within a team
Good communicator, capable of translating technical language into business terms
Open to coaching on new techniques and technologies. Passion to share knowledge with our growing analytics community!
Why join us:

Expedia Group recognizes our success is dependent on the success of our people. We are the world's travel platform, made up of the most knowledgeable, hardworking, and creative people in our business. Our brands recognize the power of travel to break down barriers and make people's lives better – that responsibility encourages us to be the place where outstanding people want to do their best work, and to provide them the tools to do so.

Whether you're applying to work in engineering or customer support, marketing or lodging supply, at Expedia Group we act as one team, working towards a common goal; to bring the world within reach. We relentlessly strive for better, but not at the cost of the customer. We act with humility and optimism, respecting ideas big and small. We value diversity and voices of all volumes. We are a global organization but keep our feet on the ground, so we can act fast and stay simple. Our teams also have the chance to give back on a local level and make a difference through our corporate social responsibility program, Expedia Cares.

If you have a desire to make a difference with one of the most loved consumer brands in the world and to work in the dynamic travel industry, this is the job for you.

Our family of travel brands includes: Brand Expedia®, Hotels.com®, Expedia® Partner Solutions, Egencia®, trivago®, VRBO®, Orbitz®, Travelocity®, Wotif®, lastminute.com.au®, ebookers®, CheapTickets®, Hotwire®, Classic Vacations®, Expedia® Media Solutions, CarRentals.com™, Expedia Local Expert®, Expedia® CruiseShipCenters®, SilverRail Technologies, Inc., ALICE and Traveldoo®.

Expedia is committed to creating an inclusive work environment with a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, gender, sexual orientation, national origin, disability or age.",4.2,"Expedia
4.2","London, England",201 to 500 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD)
4,"Deutsche Bank Analyst Internship Programme – Technology, Data and Innovation",-1,"Deutsche Bank Analyst Internship Programme – Technology, Data and Innovation
Location:

About Deutsche Bank: Deutsche Bank is the leading German bank with strong European roots and a global network. We’re driving growth through our strong client franchise. Against a backdrop of increasing globalization in the world economy, Deutsche Bank is very well-positioned, with significant regional diversification and substantial revenue streams from all the major regions of the world. We serve our clients’ real economic needs in commercial banking, investment banking, private banking and asset management. We are investing heavily in digital technologies, prioritizing long term success over short-term gains, and serving society with ambition and integrity. All this means a career packed with opportunities to grow and the chance to shape the future of our clients. The Deutsche Bank Internship Programme: An internship at Deutsche Bank is your stepping stone to success and your first look into what life is like on our Graduate Programme. You’ll become part of a collaborative and inclusive workplace as you build on your technical and interpersonal skills, take on real responsibilities, hear from senior leadership through our speaker series, work on live projects, grow your network and learn first-hand how we deliver for our clients. If you want the opportunity to shape your own career as well as the future of the financial industry, then we will give you the platform and foundation to do so. Successful interns will be invited to join the Deutsche Bank Graduate Programme. About the business division: Technology underpins Deutsche Bank’s entire business and is changing and shaping the way we engage, interact and transact with our stakeholders, internally and externally. Our Technology, Data and Innovation (TDI) strategy is strengthening our engineering expertise, introducing an agile delivery model, and is modernising the bank's IT infrastructure with long-term investments and taking advantage of cloud computing. We are building a team of visionary technology talent that will ensure that we thrive in this period of unprecedented change for the industry. That means hiring the right people and giving them the training, freedom and opportunity they need to do pioneering work. Division specifics about the internship role: Our technology teams deliver and manage engineering solutions to support the bank’s global customers. They develop and deliver solutions to help modernise technology solutions, to reduce complexity and risk, and to drive business growth. Our Technology Intern Programme offers you a wide variety of opportunities within technology, and we’re looking for bright minds like yours to help us make pioneering strides in today’s fast-moving digital world. Through job placements, training courses, seminars, and a variety of networking events you will gain a wide range of practical experience and interpersonal skills with a bank that’s truly driving change in the financial and digital world.By becoming part of our bank, you’ll become part of a diverse and inclusive network that will continue to support you for the rest of your career. Successful interns will be invited to join the Deutsche Bank Graduate Programme in Summer 2022.What we look for: We seek interns with strong problem solving skills who can collaborate effectively in teams and across locations. This means having outstanding communication, empathy and influencing skills. You should be proactive; challenging established ways of working to instead innovate and improve. You should be focused on delivering in an agile way, which means continually creating value for the business, and learning and continuously improving yourself and your team’s performance. We recruit interns who are inquisitive and want to understand how and why things work, and then improve them, in the process developing their capability. This means being passionate about technology and the business, and constantly making things better for our customers.Our interns are studying for degrees in many disciplines and you won’t necessarily need a formal mathematical or financial background. We have comprehensive training programmes to give you all the technical knowledge you’ll need to contribute straight away. Our values define the working environment we strive to create – diverse, supportive and welcoming of different views. We embrace a culture reflecting a variety of perspectives, insights and backgrounds to drive innovation. We build talented and diverse teams to drive business results and encourage our people to develop to their full potential. Talk to us about flexible work arrangements and other initiatives we offer.We promote good working relationships and encourage high standards of conduct and work performance. We welcome applications from talented people from all cultures, countries, races, genders, sexual orientations, disabilities, beliefs and generations and are committed to providing a working environment free from harassment, discrimination and retaliation. Competitive SalaryClosing date: 08.01.2021",3.8,"Deutsche Bank
3.8","London, England",10000+ Employees,1870,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
5,Data Engineer- Tech Analyst,-1,"Want to do the best work of your life? With 24 million customers in 7 countries, make your mark at Europe’s leading media and entertainment brand. A workplace where you can proudly be yourself; our people make Sky a truly exciting and inclusive place to work.

“We are leading the way in many areas of data, from delivering business critical reporting, to providing an essential analytics platform to an elite team of data scientists and analysts. Our solutions are essential to hundreds of users, providing key insights on Sky’s customers, products and viewing content and a whole lot more. Delivering innovative solutions for new products and initiatives is what we do, every single day. We are the team responsible for bringing together thousands of data feeds from hundreds of systems, into our state-of-the-art cloud platform” – Pieranna, SNR Data Engineering Manager – DTA

What you'll do:

- Work with stakeholders to understand the business issues and data challenges, thereafter consolidate requirements, specifications and designs for a proposed solution.
Design Data Models and ETL pipelines to meet the business requirements in the most efficient manner.
Work effectively with members of the team to playback the business context and proposed changes to ensure they have a full understanding of the impact and support throughout the development cycle.
Contribute towards defining the analysis best practice and standards and ensure consistency of delivery across the team.
Mentoring and coaching other members of the team, being a role model in terms of working practices.
Supporting & deputising or Team Lead/Manager where necessary

What you'll bring:

- Proven experience of delivery of analysis across large scale data warehousing projects applying principles in terms of dimensional modelling and ETL pipeline design.
Experience of translating diffuse and complex business requirements into user stories covering functional, non-functional, security and acceptance criteria.
Excellent SQL skills enabling large scale data transformation and analysis
Experience in cloud based ETL environments, preferably Google Cloud Platform.
Exceptional communication and interpersonal skills and a proven ability to influence technical decisions in a fast-moving commercial environment.
Effective management of multiple priorities and conflicting requests, escalating to senior management where necessary.

Team Overview:

Data, Technology & Analytics (DTA) at Sky is on a mission to bring customers more of what they love by unlocking the power of data to make Sky even more relevant. We are working with the rest of Sky to build innovative data products that bring even more value to our customers.

To be part of the team that is responsible for instilling good data governance principles and practices within Sky to drive the benefits: trust, performance & value.

The Rewards:

There's a reason people can't stop talking about #LifeAtSky. Our great range of rewards really are something special, here are just a few:

- Sky Q, for the TV you love all in one place
A generous pension package
Private healthcare
Discounted mobile and broadband

Where you'll work:

Osterley:

Our Osterley campus is a 10-minute walk from Syon Lane train station. Or you can hop on one of our free shuttle buses that run to and from Osterley, Chiswick Park, Gunnersbury, Acton Town and Ealing Broadway tube stations. There’s also plenty of parking, bike shelters and showers.

On campus you’ll find six subsidised restaurants and a Waitrose. You can keep in shape at our subsidised gym, catch the latest shows and movies at our cinema, get your car washed and even get pampered at our beauty salon.

Inclusion:

Recognised as an ‘Inclusive Top 50 Employer’ and a ‘Times Top 50 Employer for Women’, we’re working hard to ensure we’re a truly inclusive place to work. This means we don’t just look at your CV. We’re more focused on who you are and the potential you’ll bring to Sky. We also know that everyone has a life outside work, so we're happy to discuss flexible working.

And we'll do everything we can to support you during your application. If you need us to make any adjustments to our recruitment process, speak to our recruitment team who will be happy to support you.

Why wait?

Apply now to build an amazing career and be part of a brilliant team. We can’t wait to hear from you.

To find out more about working with us, search #LifeAtSky on social media. A job you love to talk about.

Just so you know: if your application is successful, we’ll ask you to complete a criminal record check. And depending on the role you have applied for and the nature of any convictions you may have, we might have to withdraw the offer.

#LI-Tech",3.9,"Sky
3.9",Greater London,10000+ Employees,1989,Company - Public,TV Broadcast & Cable Networks,Media,$5 to $10 billion (USD)
6,Data/Customer Analyst,£18K - £24K (Glassdoor est.),"You are numerical, analytical...data is your thing!

We need you! We're a business with a 12 million strong customer base, looking for a Data/Customer Analyst, to work within a data driven marketing team for an eCommerce organisation in Central London.

Working alongside junior analysts within the team, training and mentoring, you will be a great communicator, working with and explaining analytical techniques to non-technical members of the team and stakeholders within customer analytics.

You are someone with strong SAS and SQL experience, ideally also working with R. You will join this company at a point of transition moving from SAS to coding in R, offering a challenging analytical environment.

You will work on campaigns targeted by content, channel, offer and discount and working with large sets of data to improve this already successful business.

You will be able to provide information on personalised impact and create targeted sales boosting programmes.

You are someone who can hit the ground running with 2 years + experience, you will influence strategy, looking for a role where you can turn large data into code.

If you can turn analytics into real life business questions in order to improve the business and see your influence come to life, then please get in touch to find out more.",3.7,"Linux Recruit
3.7","London, England",1 to 50 Employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
7,Advanced Data Insight Analyst II,-1,"Expedia

Expedia Group’s Product Insights and Performance team sits within Product Analytics. Our focus is on understanding macro trends in user behaviour, great and poor moments across the customer journey, and discovering opportunities for Product teams across Expedia Group to optimize our users’ experiences.

We are a key partner for senior leaders within the Product organization, and we contribute to the business in three main ways. We focus on discovering and improving how we measure a user’s experience, understanding performance through good hypothesis driven diagnostics, and delivering new research into macro behavioural trends and opportunities.

What you’ll do:
Extract data from multiple data sources and combine them into the required datasets for model building or analytics.
Apply common statistical methods such as linear and non-linear regression, multivariate analysis to interpret results.
Demonstrate an understanding of functional technical information (e.g. user flows, technical system design and workflows).
Build complex charts with limited supervision.
Communicate with and influence partners and leadership teams.
Conduct exploratory data profiling techniques, product crosstabs, common summary descriptive statistics etc.
Write code in a way that enables efficient and accurate translation into a data pipeline.
Pick analytically valid approaches, appropriate in terms of level of effort, favoring iterative delivery that solve for the objective, not the ask.
Manage stakeholders with frequent communication, expectation management, meeting deadlines and the backlog.
Who you are:
Bachelor's, Master's, PhD or Equivalent Experience; Mathematics, Science, Statistics or Technical degree preferred otherwise relevant experience is applicable.
2 to 4 years of relevant experience could include:
Developed, and drove significant and sustained change and performance improvement from, data-driven insights.
You are familiar with Python, Scala or R, or any other major ML programming language
Experienced in the fundamentals of big data architecture (streaming events, data lakes, analytics engines) and relational database models.
Apply knowledge of intermediate SQL
Display strong domain knowledge, business acumen and critical reasoning skills.
Why join us:

Expedia Group recognizes our success is dependent on the success of our people. We are the world's travel platform, made up of the most knowledgeable, passionate, and creative people in our business. Our brands recognize the power of travel to break down barriers and make people's lives better – that responsibility inspires us to be the place where exceptional people want to do their best work, and to provide them the tools to do so.

Whether you're applying to work in engineering or customer support, marketing or lodging supply, at Expedia Group we act as one team, working towards a common goal; to bring the world within reach. We relentlessly strive for better, but not at the cost of the customer. We act with humility and optimism, respecting ideas big and small. We value diversity and voices of all volumes. We are a global organization but keep our feet on the ground, so we can act fast and stay simple. Our teams also have the chance to give back on a local level and make a difference through our corporate social responsibility program, Expedia Cares.

If you have a desire to make a difference with one of the most loved consumer brands in the world and to work in the dynamic travel industry, this is the job for you.

Our family of travel brands includes: Brand Expedia®, Hotels.com®, Expedia® Partner Solutions, Egencia®, trivago®, VRBO®, Orbitz®, Travelocity®, Wotif®, lastminute.com.au®, ebookers®, CheapTickets®, Hotwire®, Classic Vacations®, Expedia® Media Solutions, CarRentals.com™, Expedia Local Expert®, Expedia® CruiseShipCenters®, SilverRail Technologies, Inc., ALICE and Traveldoo®.

Expedia is committed to creating an inclusive work environment with a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, gender, sexual orientation, national origin, disability or age.",4.2,"Expedia
4.2","London, England",201 to 500 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD)
8,Senior Data Analyst,£36K - £50K (Glassdoor est.),"Senior Data Analyst - London

At RVU, we have the best of both worlds: the excitement of a start-up and the strength of well-established, trusted household names.
Uswitch is the UK’s top comparison website for home services switching helping consumers save money on their gas, electricity, broadband, TV and phone.
Money is one of the UK’s leading comparison websites for financial services. Consumers can compare loans, credit cards, bank accounts and insurance from more than 600 providers.
Bankrate is changing the mortgage market. We create innovative and personalised products that help you make smarter decisions. We want to empower you to find a house and get a mortgage without talking to an agent or broker.
Together, we are RVU. Together, we have the power to reach consumers across the UK, and the technology to give them a world class online experience.

We believe in being great people to work with: we are very passionate about our own work, but we think that it’s important to make time to help others with their work - so that the entire team gets better every day. We are entrepreneurial - we believe in challenging the status quo and solving problems our users will face tomorrow. Perhaps most of all, we are inclusive: no matter who we are, where we come from, or which project we work on, we are one team with one dream: improving the lives of our users through awesome experiences.

What you’ll be working on:

You will be joining a highly-motivated team at a very exciting time, with lots of opportunity to help shape the future across RVU.

You’ll be using tools and databases including BigQuery, MySQL, Google Analytics, Segment, R, Python, and Tableau to tackle intriguing and exciting problems that we’re only just starting to understand, in order to:
Measure, quantify and optimise complex marketing funnels and consumer journeys, within our energy switching business
Explore customer data to derive new insights and recommendations for improved segmentation and targeting
Collaborate and influence CRM/product teams to make more informed data-guided decisions
Monitor, report and diagnose trends in KPIs, automating wherever possible
Communicate and present clearly to colleagues across marketing, commercial, finance and product
Curate, model, manage and transform customer data from its raw format to a well structured and reliable data format
Requirements

What we’re looking for:
Proven track record and passion for using digital analytics to drive business impact
Strong SQL Skills particularly in reference to Google Big Query
Experience in using analytical and data BI tooling such as Tableau (R, Python, Git, dbt - nice to haves)
Excellent communication skills; scoping projects, disseminating results and instilling confidence in your work with key internal stakeholders of varied backgrounds
An independent, self-starter, good at working on your own as well as part of a collaborative product team
Comfort with and excitement for a fast-paced and often changing environment
Positive, can do attitude
Intellectual curiosity; you have a desire to learn and continually improve
Benefits

What we’ll give back to you:


We want to give you a great work environment; contribute back to both your personal and professional development; and give you great benefits to make your time at RVU even more enjoyable. Some of these benefits include:
A competitive salary and bonus package
A healthy learning and training budget, as well as the chance to go to conferences around the world every year
The latest equipment - be it a Linux or Apple or Windows machine
Free breakfast, healthy snacks, coffee and soft drinks
Paid parental leave for those key moments in your life
We have lots of other great benefits within the business, these are just a few of them
Health insurance
Moving day off, birthday day off, charitable day off
In office gym and pilates + yoga classes
Flexi holiday policy
Bike to work scheme
Season ticket loans for those long commutes
Employer matching pension up to 7.5%
Attractive Maternity and Paternity leave",4.8,"RVU
4.8","London, England",201 to 500 Employees,2018,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
9,Data and Reporting Analyst – Business Analytics,£26K - £32K (Glassdoor est.),"This new role within the LGC Standards Business Analytics team is a great opportunity for an analytically minded and ambitious individual to support the evolution of business analytics across the division. Working as part of a small team the role will provide the successful candidate with a challenging and rewarding working environment with ample room for personal development and growth within the team and the LGC Standards Business. The role will suit a strong, motivated practitioner who is eager to learn new skills, and offers flexibility in terms of working hours and working from home, although primarily an office based role. Career progression opportunities will occur through the growth of the business, both organically and through a strong M&A pipeline, and initiatives to deploy more analytical tools and accelerate data integration.
You will have a wide range of responsibilities supporting the team in delivery of analytical and reporting solutions from requirements gathering, solution design, validation and report publication to meet the business demand for data analysis to support evidence based decision making. A good understanding and willingness to learn more about analytical and reporting tools will be essential to fulfilling the potential of this role. High competency in Excel and an awareness of SQL is a must, and experience of any other data extraction, manipulation and reporting tools will be useful as a starting point to unlocking the potential of our data.
Key responsibilities and accountabilities
Maintenance and delivery of key reports on a recurring basis until sufficiently automated to hand over as BAU
Apply automation techniques to existing analysis and reports to remove as far as possible any manual steps in providing these to the end users
Develop a thorough understanding of data analysis tools, such as Tableau and Business Objects, and their underlying architectures
Work with data management teams and data owners across the business to support data quality improvement initiatives, through provision of clearly presented analysis, and reports highlighting inaccuracies in our key reporting data
Work with data analysts across the business to promote awareness of available data sources and best practice analytics and reporting
Document processes and guidance notes on reports, and reporting tools, to support self-service analytics
Qualifications
Knowledge experience and technical skills
Advanced Microsoft Excel skills including Data Query and Data Model Pivots.
Ability to write basic SQL queries to extract data for analysis
Tableau (or similar) reporting and dashboard creation
Experience with user requirements gathering and documentation
Experience providing written and verbal guidance to users of reporting tools and reports
Experience
A degree or equivalent qualification
The ideal candidate will have at least 2 years of experience in a commercial or financial analytics role.
Essential competencies and behaviour
Strong analytical and problem-solving skills, with an appreciation of data integrity
Excellent written and verbal communication skills
Proactive and self-motivated
Willing and able to learn new skills rapidly and work outside of primary competency areas
Strong business acumen with a commercial mind-set; sound financial awareness and a track record of producing high quality analysis and meeting deadlines",-1,LGC Limited,"Teddington, London, England",Unknown,-1,Company - Public,-1,-1,Less than $1 million (USD)
